interconnector_1_price,interconnector_2_price,interconnector_3_price,interconnector_4_price,interconnector_5_price,interconnector_6_price
112.6,112.1,112.1,112.6,112.6,112.1
112.6,112.6,112.6,112.6,112.6,112.6
115.8,112.7,112.7,115.8,112.6,112.7
162.7,162.7,162.6,162.7,112.6,162.6
162.7,162.7,162.7,162.7,112.6,162.7
162.7,162.7,162.7,162.7,112.6,162.7
162.7,162.7,162.7,162.7,112.6,162.7
162.7,162.7,162.7,162.7,112.6,162.7
162.7,162.7,162.7,162.7,112.6,162.7
162.7,162.7,162.7,162.7,112.6,162.7
165.0,165.0,165.0,165.0,112.6,165.0
168.5,168.5,168.5,168.5,112.6,168.5
168.5,168.5,168.5,168.5,112.6,168.5
171.1,171.1,171.1,171.1,112.6,171.1
170.9,170.9,171.1,170.9,112.6,170.9
168.5,168.5,168.5,168.5,112.6,168.5
168.5,168.5,168.5,168.5,112.6,168.5
164.6,164.6,164.6,164.6,112.6,164.6
162.7,162.7,162.7,162.7,112.6,162.7
162.7,162.7,162.7,162.7,112.6,162.7
119.2,119.2,119.1,119.2,119.1,119.2
119.1,119.1,119.1,119.1,119.1,119.1
119.1,119.1,119.1,119.1,119.1,119.1
119.1,119.1,119.1,119.1,119.1,119.1
119.1,119.1,119.1,119.1,119.1,119.1
119.2,119.1,119.1,119.1,119.1,119.1
165.4,165.4,119.1,165.4,119.1,165.4
166.3,166.3,166.2,166.3,119.1,166.3
166.5,166.5,166.5,166.5,119.1,166.5
166.3,166.3,166.3,166.3,119.1,166.3
166.0,166.0,166.0,166.0,119.1,166.0
165.9,165.9,165.9,165.9,119.1,165.8
165.8,165.8,165.8,165.8,119.1,165.8
165.8,165.8,165.8,165.8,119.1,165.8
165.9,165.9,165.9,165.9,119.1,165.8
171.9,171.9,166.3,171.9,119.1,166.3
171.9,171.9,170.3,171.9,119.1,170.3
171.9,171.9,171.9,171.9,119.1,171.9
171.9,171.9,171.9,171.9,119.1,171.9
171.1,171.0,171.0,171.0,119.1,171.0
167.2,167.2,167.2,167.2,119.1,167.2
165.8,165.8,165.8,165.8,119.1,165.8
165.0,165.0,165.0,165.0,119.1,165.0
165.0,165.0,165.0,165.0,119.1,165.0
123.1,123.1,123.1,123.1,164.6,123.1
123.1,118.1,118.1,123.1,164.6,118.1
123.1,116.6,116.6,123.1,164.6,116.6
123.1,112.7,112.7,123.1,164.6,112.7
123.1,112.7,112.6,123.1,164.6,112.6
132.1,112.7,112.7,132.1,164.6,112.7
164.6,123.1,112.7,164.6,164.6,123.1
165.3,164.6,164.6,165.3,164.6,164.6
164.6,164.6,164.6,164.6,164.6,164.6
164.6,164.6,164.6,164.6,164.6,164.6
164.6,164.6,164.6,164.6,164.6,164.6
164.6,164.6,164.6,164.6,164.6,164.6
164.6,164.6,164.6,164.6,164.6,164.6
164.6,164.6,164.6,164.6,164.6,164.6
165.0,165.0,165.0,165.0,164.6,165.0
166.3,166.3,166.3,166.3,164.6,166.3
170.5,170.5,170.5,170.5,164.6,170.5
177.5,177.5,177.5,177.6,164.6,175.8
170.5,170.5,170.5,170.5,164.6,170.5
170.5,170.5,170.5,170.5,164.6,169.2
165.8,165.8,165.8,165.8,164.6,165.8
164.6,164.6,164.6,164.6,164.6,164.6
164.6,164.6,164.6,164.6,164.6,164.6
164.6,164.6,164.6,164.6,164.6,164.6
132.1,132.1,132.1,132.1,166.2,132.0
132.1,132.0,132.0,132.1,166.2,132.0
132.1,132.0,132.0,132.1,166.2,132.0
132.1,132.0,132.0,132.1,166.2,132.0
132.1,132.0,132.0,132.1,166.2,132.0
132.1,132.1,132.1,132.1,166.2,132.1
166.2,166.2,166.2,166.2,166.2,166.2
166.3,166.3,166.3,166.3,166.2,166.3
166.4,166.4,166.4,166.4,166.2,166.3
166.3,166.3,166.4,166.3,166.2,166.3
166.3,166.3,166.4,166.3,166.2,166.2
166.2,166.2,166.4,166.3,166.2,166.2
166.2,166.2,166.3,166.3,166.2,166.2
166.2,166.2,166.3,166.3,166.2,166.2
166.3,166.2,166.3,166.3,166.2,166.2
190.3,190.3,190.4,190.3,166.2,166.3
190.3,190.3,239.2,190.3,166.2,166.3
190.3,190.3,315.1,190.4,166.2,187.9
190.3,190.3,289.0,190.3,166.2,170.1
179.7,179.7,249.4,179.7,166.2,166.3
183.3,183.3,249.4,183.4,166.2,166.2
166.2,166.2,166.3,166.2,166.2,166.2
166.2,166.2,166.2,166.2,166.2,166.2
166.2,166.2,166.2,166.2,166.2,166.2
